Season ID,Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,IPL Team Key,player_id,Season Name
12741,LS Livingstone,4,4,1,70,44,23.33,48,145.83,0,0,0,6,5,106,403902,2019
12741,C de Grandhomme,4,4,1,46,37,15.33,49,93.87,0,0,0,4,2,100,55395,2019
13840,KM Jadhav,5,4,1,43,19,14.33,40,107.5,0,0,0,2,2,107,290716,2021
12741,WP Saha,5,5,0,86,28,17.2,53,162.26,0,0,0,13,1,107,279810,2019
12741,TA Boult,5,3,2,7,6,7,4,175,0,0,0,0,1,101,277912,2019
12741,RK Singh,5,3,1,37,30,18.5,34,108.82,0,0,0,1,2,101,723105,2019
13533,JDS Neesham,5,3,1,19,10*,9.5,18,105.55,0,0,0,0,1,101,355269,2020
13840,DJ Bravo,5,2,1,43,23,43,16,268.75,0,0,0,2,4,102,51439,2021
12741,R Tewatia,5,4,3,26,11*,26,22,118.18,0,0,0,2,1,101,423838,2019
13840,Ishan Kishan,6,6,0,84,28,14,98,85.71,0,0,0,4,2,101,720471,2021
13533,AS Rajpoot,6,2,1,9,7*,9,10,90,0,0,0,0,1,106,591650,2020
13840,SPD Smith,6,5,1,104,34*,26,93,111.82,0,0,0,9,1,101,267192,2021
13840,S Dube,6,6,0,145,46,24.16,123,117.88,0,0,0,14,5,106,714451,2021
12741,N Pooran,7,6,0,168,48,28,107,157,0,0,0,9,14,101,604302,2019
12741,SE Rutherford,7,7,2,73,28*,14.6,54,135.18,0,0,0,2,7,101,914541,2019
13533,SS Tiwary,7,5,0,103,42,20.6,80,128.75,0,0,0,8,3,101,35390,2020
13533,JO Holder,7,4,2,66,26*,33,53,124.52,0,0,0,5,3,107,391485,2020
13840,SM Curran,7,3,1,52,34,26,25,208,0,0,0,5,3,102,662973,2021
12741,K Gowtham,7,4,1,18,9,6,19,94.73,0,0,0,1,1,106,424377,2019
13840,V Shankar,7,5,0,58,28,11.6,52,111.53,0,0,0,1,3,107,477021,2021
12741,Ishan Kishan,7,6,0,101,28,16.83,100,101,0,0,0,8,4,101,720471,2019
13840,R Tewatia,8,6,0,88,40,14.66,72,122.22,0,0,0,6,4,106,423838,2021
12741,AD Nath,8,5,0,61,24,12.2,57,107.01,0,0,0,5,2,100,500360,2019
12741,Mohammad Nabi,8,7,1,115,31,19.16,76,151.31,0,0,0,8,7,107,25913,2019
13840,Mohammed Siraj,8,4,3,20,12*,20,26,76.92,0,0,0,1,1,100,940973,2021
13533,Abhishek Sharma,8,7,2,71,31,14.2,56,126.78,0,0,0,6,3,107,1070183,2020
13840,KD Karthik,8,7,3,123,40,30.75,89,138.2,0,0,0,13,4,101,30045,2021
13840,R Parag,8,7,2,82,25,16.4,59,138.98,0,0,0,6,4,106,1079434,2021
13840,KH Pandya,8,8,1,104,39,14.85,81,128.39,0,0,0,8,4,101,471342,2021
13533,AD Russell,10,9,0,117,25,13,81,144.44,0,0,0,9,9,101,276298,2020
12741,JC Archer,11,5,3,67,27*,33.5,40,167.5,0,0,0,4,4,106,669855,2019
12741,UT Yadav,11,7,5,25,14,12.5,25,100,0,0,0,3,1,100,376116,2019
13533,S Dube,11,9,2,129,27*,18.42,105,122.85,0,0,0,5,9,100,714451,2020
12741,SP Narine,12,9,1,143,47,17.87,86,166.27,0,0,0,17,9,101,230558,2019
13533,RV Uthappa,12,12,0,196,41,16.33,164,119.51,0,0,0,19,7,106,35582,2020
13533,Abdul Samad,12,8,3,111,33,22.2,65,170.76,0,0,0,8,6,107,1175485,2020
